"quarter","sex","deaths"
"1960Q1","Male","5082"
"1960Q1","Female","4317"
"1960Q2","Male","4154"
"1960Q2","Female","3728"
"1960Q3","Male","3783"
"1960Q3","Female","3167"
"1960Q4","Male","4466"
"1960Q4","Female","3961"
"1961Q1","Male","6376"
"1961Q1","Female","5507"
"1961Q2","Male","4533"
"1961Q2","Female","3718"
"1961Q3","Male","3556"
"1961Q3","Female","3147"
"1961Q4","Male","4151"
"1961Q4","Female","3560"
"1962Q1","Male","5535"
"1962Q1","Female","4832"
"1962Q2","Male","4763"
"1962Q2","Female","3969"
"1962Q3","Male","3883"
"1962Q3","Female","3138"
"1962Q4","Male","4059"
"1962Q4","Female","3464"
"1963Q1","Male","5553"
"1963Q1","Female","4709"
"1963Q2","Male","4597"
"1963Q2","Female","4084"
"1963Q3","Male","3839"
"1963Q3","Female","3266"
"1963Q4","Male","4083"
"1963Q4","Female","3427"
"1964Q1","Male","4802"
"1964Q1","Female","4061"
"1964Q2","Male","4879"
"1964Q2","Female","4188"
"1964Q3","Male","3685"
"1964Q3","Female","3197"
"1964Q4","Male","4178"
"1964Q4","Female","3483"
"1965Q1","Male","5037"
"1965Q1","Female","4241"
"1965Q2","Male","4473"
"1965Q2","Female","3688"
"1965Q3","Male","3973"
"1965Q3","Female","3353"
"1965Q4","Male","4342"
"1965Q4","Female","3671"
"1966Q1","Male","5672"
"1966Q1","Female","4783"
"1966Q2","Male","4910"
"1966Q2","Female","4204"
"1966Q3","Male","3938"
"1966Q3","Female","3185"
"1966Q4","Male","4411"
"1966Q4","Female","3622"
"1967Q1","Male","4420"
"1967Q1","Female","3666"
"1967Q2","Male","4305"
"1967Q2","Female","3596"
"1967Q3","Male","3861"
"1967Q3","Female","3324"
"1967Q4","Male","4217"
"1967Q4","Female","3613"
"1968Q1","Male","5254"
"1968Q1","Female","4607"
"1968Q2","Male","4455"
"1968Q2","Female","3759"
"1968Q3","Male","3957"
"1968Q3","Female","3207"
"1968Q4","Male","4147"
"1968Q4","Female","3414"
"1969Q1","Male","5218"
"1969Q1","Female","4311"
"1969Q2","Male","4610"
"1969Q2","Female","3799"
"1969Q3","Male","4055"
"1969Q3","Female","3456"
"1969Q4","Male","4338"
"1969Q4","Female","3721"
"1970Q1","Male","5584"
"1970Q1","Female","4512"
"1970Q2","Male","4753"
"1970Q2","Female","4055"
"1970Q3","Male","3879"
"1970Q3","Female","3215"
"1970Q4","Male","4298"
"1970Q4","Female","3588"
"1971Q1","Male","4550"
