,year,cdrt
0,1960,11.5
1,1961,12.3
2,1962,11.9
3,1963,11.8
4,1964,11.4
5,1965,11.5
6,1966,12.2
7,1967,10.8
8,1968,11.4
9,1969,11.5
10,1970,11.4
11,1971,10.7
12,1972,11.3
13,1973,11.1
14,1974,11.1
15,1975,10.4
16,1976,10.5
17,1977,10.2
18,1978,10.2
19,1979,10.0
20,1980,9.8
21,1981,9.5
22,1982,9.3
23,1983,9.4
24,1984,9.1
25,1985,9.4
26,1986,9.5
27,1987,8.9
28,1988,9.0
29,1989,9.1
30,1990,8.9
31,1991,8.9
32,1992,8.7
33,1993,9.0
34,1994,8.6
35,1995,8.9
36,1996,8.7
37,1997,8.6
38,1998,8.5
39,1999,8.7
40,2000,8.2
41,2001,7.8
42,2002,7.5
43,2003,7.3
44,2004,7.0
45,2005,6.8
46,2006,6.7
47,2007,6.4
48,2008,6.3
49,2009,6.3
50,2010,6.1
51,2011,6.2
52,2012,6.3
53,2013,6.4
54,2014,6.3
55,2015,6.4
56,2016,6.4
57,2017,6.3
58,2018,6.4
59,2019,6.3
