"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2019 December 30","Both sexes","Number","109"
"RIP.ie death notices","2019 December 31","Both sexes","Number","108"
"RIP.ie death notices","2020 January 01","Both sexes","Number","99"
"RIP.ie death notices","2020 January 02","Both sexes","Number","102"
"RIP.ie death notices","2020 January 03","Both sexes","Number","104"
"RIP.ie death notices","2020 January 04","Both sexes","Number","102"
"RIP.ie death notices","2020 January 05","Both sexes","Number","84"
"RIP.ie death notices","2020 January 06","Both sexes","Number","98"
"RIP.ie death notices","2020 January 07","Both sexes","Number","102"
"RIP.ie death notices","2020 January 08","Both sexes","Number","104"
"RIP.ie death notices","2020 January 09","Both sexes","Number","108"
"RIP.ie death notices","2020 January 10","Both sexes","Number","115"
"RIP.ie death notices","2020 January 11","Both sexes","Number","90"
"RIP.ie death notices","2020 January 12","Both sexes","Number","120"
"RIP.ie death notices","2020 January 13","Both sexes","Number","108"
"RIP.ie death notices","2020 January 14","Both sexes","Number","89"
"RIP.ie death notices","2020 January 15","Both sexes","Number","95"
"RIP.ie death notices","2020 January 16","Both sexes","Number","91"
"RIP.ie death notices","2020 January 17","Both sexes","Number","78"
"RIP.ie death notices","2020 January 18","Both sexes","Number","91"
"RIP.ie death notices","2020 January 19","Both sexes","Number","96"
"RIP.ie death notices","2020 January 20","Both sexes","Number","76"
"RIP.ie death notices","2020 January 21","Both sexes","Number","101"
"RIP.ie death notices","2020 January 22","Both sexes","Number","93"
"RIP.ie death notices","2020 January 23","Both sexes","Number","87"
"RIP.ie death notices","2020 January 24","Both sexes","Number","96"
"RIP.ie death notices","2020 January 25","Both sexes","Number","89"
"RIP.ie death notices","2020 January 26","Both sexes","Number","80"
"RIP.ie death notices","2020 January 27","Both sexes","Number","90"
"RIP.ie death notices","2020 January 28","Both sexes","Number","105"
"RIP.ie death notices","2020 January 29","Both sexes","Number","66"
"RIP.ie death notices","2020 January 30","Both sexes","Number","116"
"RIP.ie death notices","2020 January 31","Both sexes","Number","78"
"RIP.ie death notices","2020 February 01","Both sexes","Number","94"
"RIP.ie death notices","2020 February 02","Both sexes","Number","90"
"RIP.ie death notices","2020 February 03","Both sexes","Number","89"
"RIP.ie death notices","2020 February 04","Both sexes","Number","84"
"RIP.ie death notices","2020 February 05","Both sexes","Number","95"
"RIP.ie death notices","2020 February 06","Both sexes","Number","82"
"RIP.ie death notices","2020 February 07","Both sexes","Number","90"
"RIP.ie death notices","2020 February 08","Both sexes","Number","98"
"RIP.ie death notices","2020 February 09","Both sexes","Number","101"
