date,sex,year,deaths
2008-01-01,F,2008,35
2008-01-01,M,2008,22
2008-01-02,F,2008,35
2008-01-02,M,2008,30
2008-01-03,F,2008,31
2008-01-03,M,2008,32
2008-01-04,F,2008,27
2008-01-04,M,2008,34
2008-01-05,F,2008,29
2008-01-05,M,2008,29
2008-01-06,F,2008,28
2008-01-06,M,2008,36
2008-01-07,F,2008,40
2008-01-07,M,2008,39
2008-01-08,F,2008,41
2008-01-08,M,2008,42
2008-01-09,F,2008,39
2008-01-09,M,2008,45
2008-01-10,F,2008,47
2008-01-10,M,2008,39
2008-01-11,F,2008,43
2008-01-11,M,2008,26
2008-01-12,F,2008,43
2008-01-12,M,2008,33
2008-01-13,F,2008,46
2008-01-13,M,2008,40
2008-01-14,F,2008,34
2008-01-14,M,2008,33
2008-01-15,F,2008,46
2008-01-15,M,2008,32
2008-01-16,F,2008,37
2008-01-16,M,2008,32
2008-01-17,F,2008,27
2008-01-17,M,2008,29
2008-01-18,F,2008,45
2008-01-18,M,2008,35
2008-01-19,F,2008,46
2008-01-19,M,2008,26
2008-01-20,F,2008,29
2008-01-20,M,2008,24
2008-01-21,F,2008,44
2008-01-21,M,2008,35
2008-01-22,F,2008,33
2008-01-22,M,2008,32
2008-01-23,F,2008,31
2008-01-23,M,2008,21
2008-01-24,F,2008,23
2008-01-24,M,2008,36
2008-01-25,F,2008,40
2008-01-25,M,2008,26
2008-01-26,F,2008,30
2008-01-26,M,2008,31
2008-01-27,F,2008,34
2008-01-27,M,2008,30
2008-01-28,F,2008,30
2008-01-28,M,2008,40
2008-01-29,F,2008,25
2008-01-29,M,2008,36
2008-01-30,F,2008,27
2008-01-30,M,2008,30
2008-01-31,F,2008,27
2008-01-31,M,2008,23
2008-02-01,F,2008,39
2008-02-01,M,2008,21
2008-02-02,F,2008,31
2008-02-02,M,2008,32
2008-02-03,F,2008,41
2008-02-03,M,2008,24
2008-02-04,F,2008,23
2008-02-04,M,2008,30
2008-02-05,F,2008,28
2008-02-05,M,2008,31
2008-02-06,F,2008,41
2008-02-06,M,2008,32
2008-02-07,F,2008,35
2008-02-07,M,2008,25
2008-02-08,F,2008,39
2008-02-08,M,2008,24
2008-02-09,F,2008,31
2008-02-09,M,2008,31
2008-02-10,F,2008,23
2008-02-10,M,2008,30
2008-02-11,F,2008,32
2008-02-11,M,2008,30
2008-02-12,F,2008,36
2008-02-12,M,2008,38
2008-02-13,F,2008,42
2008-02-13,M,2008,48
2008-02-14,F,2008,33
2008-02-14,M,2008,39
2008-02-15,F,2008,28
2008-02-15,M,2008,35
2008-02-16,F,2008,43
2008-02-16,M,2008,41
2008-02-17,F,2008,35
2008-02-17,M,2008,31
2008-02-18,F,2008,38
2008-02-18,M,2008,42
2008-02-19,F,2008,43
2008-02-19,M,2008,46
2008-02-20,F,2008,33
2008-02-20,M,2008,35
2008-02-21,F,2008,38
2008-02-21,M,2008,42
2008-02-22,F,2008,49
2008-02-22,M,2008,32
2008-02-23,F,2008,41
2008-02-23,M,2008,29
2008-02-24,F,2008,34
2008-02-24,M,2008,33
2008-02-25,F,2008,33
2008-02-25,M,2008,37
2008-02-26,F,2008,40
2008-02-26,M,2008,39
2008-02-27,F,2008,36
2008-02-27,M,2008,37
2008-02-28,F,2008,39
2008-02-28,M,2008,47
2008-02-29,F,2008,45
2008-02-29,M,2008,37
2008-03-01,F,2008,40
2008-03-01,M,2008,41
2008-03-02,F,2008,44
2008-03-02,M,2008,36
2008-03-03,F,2008,45
2008-03-03,M,2008,54
