surname,first_name,Name,Recognized_CLIP via Disco,DD_study,Recognized_Stable V1,"SD V1
study",Tags,"Year of Death 
( if living)",User,sgl imgs,cards folder,batch #
Aalto,Alvar,Alvar Aalto,Yes,x,Yes,x,"architecture, high contrast",1976,sureailabs,x,x,8
Aarons,Slim,Slim Aarons,Yes,x,Yes,x,"vibrant, photography, scene",2006,sureailabs,x,x,8
Abbey,Edwin Austin,Edwin Austin Abbey,Yes,x,Yes,x,"scene, realism",1911,EErratica,x,x,7
Abercrombie,Gertrude,Gertrude Abercrombie,Yes,x,Yes,x,"surrealism, dark,",1977,sureailabs,x,x,10
Abramović,Marina,Marina Abramović,Yes,x,Yes,x,"scene, photography",,sureailabs,x,x,8
Abts,Tomma,Tomma Abts,Yes,x,Yes,x,"abstract, angular",,sureailabs,x,x,10
Acconci,Vito,Vito Acconci,Yes,x,Yes,x,"dark, installation, architecture, sculpture",2017,sureailabs,x,x,10
Achenbach,Andreas,Andreas Achenbach,Yes,x,Yes,x,"landscape, seascape, romanticism",1910,sureailabs,x,x,10
Ackroyd,Norman,Norman Ackroyd,Yes,x,Yes,x,"landscape, monochromatic, high contrast",,proximasan,x,x,10
Adams,Ansel,Ansel Adams,Yes,x,Yes,x,"monochromatic, high contrast",1984,KyrickYoung,x,x,2
Adams,Arthur,Arthur Adams,Yes,x,Yes,x,"detailed, clean",,sureailabs,x,x,5
Adams,Neal,Neal Adams,Yes,x,Yes,x,comics,2022,sureailabs,x,x,12
Adamski,Josh,Josh Adamski,Yes,x,Yes,x,"landscape, vibrant",,sureailabs,x,x,12
Addams,Charles,Charles Addams,Yes,x,Yes,x,"monochromatic, scene",1988,EErratica,x,x,7
Adnan,Etel,Etel Adnan,Yes,x,Yes,x,"abstract, vibrant, landscape",2021,sureailabs,x,x,10
Adolfsson,Mattias,Mattias Adolfsson,Yes,x,Yes,x,"detailed, whimsical, watercolor",,sureailabs,x,x,12
Aenami,Alena,Alena Aenami,Yes,x,Yes,x,"vibrant, landscape, digital",,sureailabs,x,x,3
Aertsen,Pieter,Pieter Aertsen,Yes,x,Yes,x,"detailed, scene, renaissance",1575,EErratica,x,x,7
af Klint,Hilma,Hilma af Klint,Yes,x,Yes,x,"abstract, low contrast",1944,proximasan,x,x,1
Affandi,, Affandi,Yes,x,Yes,x,"expressionism, messy, abstract, scene",1990,sureailabs,x,x,3
Afremov,Leonid,Leonid Afremov,Yes,x,Yes,x,"vibrant, stained glass, impressionism",2019,proximasan,x,x,4
Agam,Yaacov,Yaacov Agam,Yes,x,Yes,x,"vibrant, colorful, abstract, angular",,sureailabs,x,x,10
Agar,Eileen,Eileen Agar,Yes,x,Yes,x,"vibrant, abstract, collage",1991,sureailabs,x,x,7
Agasse,Jacques-Laurent,Jacques-Laurent Agasse,Yes,x,Yes,x,"landscape, animals",1849,sureailabs,x,x,11
Aitchison,Craigie,Craigie Aitchison,Yes,x,Yes,x,"vibrant, primitivism, figurativism",2009,sureailabs,x,x,12
Aitken,Doug,Doug Aitken,Yes,x,Yes,x,"installation, photography, sculpture",,sureailabs,x,x,12
Aivazovsky,Ivan,Ivan Aivazovsky,Yes,x,Yes,x,"dark, landscape, romanticism",1900,KyrickYoung,x,x,1
Aja,David,David Aja,Yes,x,Yes,x,"high contrast, comics",,sureailabs,x,x,9
Akrami,Sherry,Sherry Akrami,Yes,x,Yes,x,"monochromatic, photography, surrealism, nature",,sureailabs,x,x,12
Alakbarov,Rashad,Rashad Alakbarov,Yes,x,Yes,x,"installation, light",,sureailabs,x,x,13
Albers,Anni,Anni Albers,Yes,x,Yes,x,"textile, bauhaus",1994,sureailabs,x,x,7
Albers,Josef,Josef Albers,Yes,x,Yes,x,"bauhaus, high contrast",1976,sureailabs,x,x,7
Albi,Alessio,Alessio Albi,Yes,x,Yes,x,"photography, portrait",,sureailabs,x,x,12
Albright,Ivan,Ivan Albright,Yes,x,Yes,x,"dark, messy, impressionism",1983,sureailabs,x,x,3
Albuquerque,Rafael,Rafael Albuquerque,Yes,x,Yes,x,"comics, high contrast",,sureailabs,x,x,8
Aldridge,Miles,Miles Aldridge,Yes,x,Yes,x,"photography, portrait, surrealism, pop art",,sureailabs,x,x,12
Alemany,Alex,Alex Alemany,Yes,x,Yes,x,"symbolism, magical realism, surrealism",2021,sureailabs,x,x,12
Alexander,John White,John White Alexander,Yes,x,Yes,x,"portrait, art nouveau, symbolism",1915,sureailabs,x,x,12
