Name,Rank,Number of Births,year
Mary,1,1896,1970
Catherine,2,939,1970
Margaret,3,830,1970
Ann,4,619,1970
Sharon,5,601,1970
Elizabeth,6,546,1970
Anne,7,531,1970
Fiona,8,519,1970
Deirdre,9,514,1970
Caroline,10,443,1970
Patricia,11,415,1970
Martina,12,385,1970
Bridget,13,378,1970
Helen,14,374,1970
Sandra,15,373,1970
Karen,16,357,1970
Linda,17,343,1970
Michelle,18,334,1970
Susan,19,325,1970
Geraldine,20,322,1970
Siobhan,21,312,1970
Elaine,22,291,1970
Bernadette,23,268,1970
Sinead,24,266,1970
Lorraine,25,254,1970
Kathleen,26,251,1970
Eileen,27,249,1970
Marie,28,246,1970
Teresa,28,246,1970
Maria,30,227,1970
Yvonne,31,225,1970
Denise,32,221,1970
Niamh,33,215,1970
Carmel,33,215,1970
Angela,35,214,1970
Jacqueline,36,212,1970
Jennifer,37,203,1970
Carol,37,203,1970
Orla,39,201,1970
Deborah,40,194,1970
Rachel,41,189,1970
Louise,42,188,1970
Paula,42,188,1970
Sarah,44,185,1970
Joan,44,185,1970
Suzanne,46,182,1970
Valerie,46,182,1970
Audrey,48,180,1970
Nora,49,176,1970
Brigid,50,168,1970
Josephine,51,167,1970
Sheila,52,163,1970
Tara,53,162,1970
Lisa,54,161,1970
Pauline,55,160,1970
Christina,56,158,1970
Amanda,57,156,1970
Anna,58,153,1970
Barbara,59,147,1970
Ellen,60,146,1970
Ruth,61,135,1970
Michele,61,135,1970
Tracy,63,134,1970
Colette,64,129,1970
Gillian,65,128,1970
Grainne,66,127,1970
Nicola,66,127,1970
Claire,68,123,1970
Alison,69,121,1970
Joanne,69,121,1970
Aisling,71,117,1970
Frances,72,111,1970
Rose,73,110,1970
Tracey,73,110,1970
Edel,75,109,1970
Julia,76,108,1970
Helena,76,108,1970
Christine,78,107,1970
Ciara,79,105,1970
Brenda,79,105,1970
Jane,81,104,1970
Samantha,82,101,1970
Noreen,82,101,1970
Jean,84,100,1970
Emer,85,99,1970
Veronica,85,99,1970
Clare,87,96,1970
Una,88,95,1970
Annette,88,95,1970
Laura,90,90,1970
Pamela,91,89,1970
Jacinta,92,88,1970
Emma,93,87,1970
Anita,94,84,1970
Clodagh,95,81,1970
Miriam,95,81,1970
Majella,95,81,1970
Shirley,95,81,1970
Aileen,99,80,1970
Antoinette,100,79,1970
Johanna,101,78,1970
Rosemary,101,78,1970
Aine,103,77,1970
Mairead,103,77,1970
Maeve,105,76,1970
Marian,106,75,1970
Evelyn,107,74,1970
Regina,108,73,1970
Julie,109,72,1970
Nuala,110,71,1970
Janet,111,68,1970
Theresa,112,67,1970
Irene,112,67,1970
Hilary,114,65,1970
Alice,115,60,1970
Katherine,116,59,1970
Maureen,116,59,1970
Lorna,118,58,1970
Adrienne,118,58,1970
Imelda,120,57,1970
Olive,121,56,1970
Philomena,122,55,1970
