"month","2020","2019","2018","2017","2016","2015",2014,2013
1,2946,3041,3488,3425,3110,2967,2828,2871
2,2676,2603,2850,2532,2688,2756,2696,2506
3,2868,2672,2994,2604,2846,2875,2656,2831
4,3523,2502,2596,2414,2533,2478,2446,2631
5,2555,2651,2385,2376,2489,2539,2310,2445
6,2101,2388,2291,2230,2266,2241,2206,2185
7,2066,2321,2334,2217,2301,2160,2323,2360
8,2146,2314,2244,2305,2182,2286,2280,2148
9,2156,2411,2295,2319,2333,2333,2147,2264
10,2331,2581,2483,2556,2397,2527,2385,2351
11,,2679,2527,2481,2512,2314,2376,2332
12,,3060,2653,2959,3010,2651,2599,2580
