date,sex,year,deaths
2015-01-01,F,2015,49
2015-01-01,M,2015,36
2015-01-02,F,2015,46
2015-01-02,M,2015,49
2015-01-03,F,2015,46
2015-01-03,M,2015,34
2015-01-04,F,2015,37
2015-01-04,M,2015,43
2015-01-05,F,2015,43
2015-01-05,M,2015,44
2015-01-06,F,2015,61
2015-01-06,M,2015,42
2015-01-07,F,2015,41
2015-01-07,M,2015,51
2015-01-08,F,2015,46
2015-01-08,M,2015,41
2015-01-09,F,2015,48
2015-01-09,M,2015,33
2015-01-10,F,2015,46
2015-01-10,M,2015,47
2015-01-11,F,2015,54
2015-01-11,M,2015,48
2015-01-12,F,2015,38
2015-01-12,M,2015,57
2015-01-13,F,2015,48
2015-01-13,M,2015,57
2015-01-14,F,2015,48
2015-01-14,M,2015,47
2015-01-15,F,2015,37
2015-01-15,M,2015,35
2015-01-16,F,2015,52
2015-01-16,M,2015,39
2015-01-17,F,2015,37
2015-01-17,M,2015,35
2015-01-18,F,2015,43
2015-01-18,M,2015,50
2015-01-19,F,2015,38
2015-01-19,M,2015,40
2015-01-20,F,2015,42
2015-01-20,M,2015,35
2015-01-21,F,2015,55
2015-01-21,M,2015,41
2015-01-22,F,2015,45
2015-01-22,M,2015,48
2015-01-23,F,2015,38
2015-01-23,M,2015,56
2015-01-24,F,2015,48
2015-01-24,M,2015,39
2015-01-25,F,2015,35
2015-01-25,M,2015,42
2015-01-26,F,2015,43
2015-01-26,M,2015,48
2015-01-27,F,2015,46
2015-01-27,M,2015,38
2015-01-28,F,2015,53
2015-01-28,M,2015,26
2015-01-29,F,2015,51
2015-01-29,M,2015,43
2015-01-30,F,2015,40
2015-01-30,M,2015,52
2015-01-31,F,2015,65
2015-01-31,M,2015,46
2015-02-01,F,2015,39
2015-02-01,M,2015,49
2015-02-02,F,2015,61
2015-02-02,M,2015,37
2015-02-03,F,2015,47
2015-02-03,M,2015,42
2015-02-04,F,2015,47
2015-02-04,M,2015,38
2015-02-05,F,2015,53
2015-02-05,M,2015,46
2015-02-06,F,2015,47
2015-02-06,M,2015,59
2015-02-07,F,2015,44
2015-02-07,M,2015,51
2015-02-08,F,2015,31
2015-02-08,M,2015,39
2015-02-09,F,2015,47
2015-02-09,M,2015,44
2015-02-10,F,2015,41
2015-02-10,M,2015,43
2015-02-11,F,2015,52
2015-02-11,M,2015,42
2015-02-12,F,2015,38
2015-02-12,M,2015,43
2015-02-13,F,2015,47
2015-02-13,M,2015,45
2015-02-14,F,2015,54
2015-02-14,M,2015,58
2015-02-15,F,2015,55
2015-02-15,M,2015,45
2015-02-16,F,2015,51
2015-02-16,M,2015,44
2015-02-17,F,2015,51
2015-02-17,M,2015,46
2015-02-18,F,2015,63
2015-02-18,M,2015,42
2015-02-19,F,2015,58
2015-02-19,M,2015,47
2015-02-20,F,2015,54
2015-02-20,M,2015,42
2015-02-21,F,2015,38
2015-02-21,M,2015,45
2015-02-22,F,2015,43
2015-02-22,M,2015,42
2015-02-23,F,2015,38
2015-02-23,M,2015,49
2015-02-24,F,2015,57
2015-02-24,M,2015,34
2015-02-25,F,2015,48
2015-02-25,M,2015,46
2015-02-26,F,2015,55
2015-02-26,M,2015,45
2015-02-27,F,2015,49
2015-02-27,M,2015,50
2015-02-28,F,2015,52
2015-02-28,M,2015,53
2015-03-01,F,2015,37
2015-03-01,M,2015,48
2015-03-02,F,2015,64
2015-03-02,M,2015,58
2015-03-03,F,2015,40
2015-03-03,M,2015,41
2015-03-04,F,2015,61
2015-03-04,M,2015,49
2015-03-05,F,2015,52
2015-03-05,M,2015,37
2015-03-06,F,2015,46
2015-03-06,M,2015,41
2015-03-07,F,2015,41
2015-03-07,M,2015,53
2015-03-08,F,2015,46
2015-03-08,M,2015,38
2015-03-09,F,2015,50
2015-03-09,M,2015,40
2015-03-10,F,2015,40
2015-03-10,M,2015,35
2015-03-11,F,2015,34
2015-03-11,M,2015,46
2015-03-12,F,2015,51
2015-03-12,M,2015,44
2015-03-13,F,2015,36
2015-03-13,M,2015,56
2015-03-14,F,2015,46
2015-03-14,M,2015,46
2015-03-15,F,2015,39
2015-03-15,M,2015,40
2015-03-16,F,2015,47
2015-03-16,M,2015,51
2015-03-17,F,2015,37
2015-03-17,M,2015,43
2015-03-18,F,2015,47
2015-03-18,M,2015,41
2015-03-19,F,2015,48
2015-03-19,M,2015,40
2015-03-20,F,2015,57
2015-03-20,M,2015,33
