address,lat,long
"Garranroe, Thurles",52.7141492,-7.74216090263816
"KILMACOW, CURRAGLASS, CONNA  MALLOW",,
"Lisnacrilla, Belgooley",,
"LISSERGOOLE, TIBOHINE",,
"No 2 Lindenwood, Cootehall, Boyle",,
"No 4 Millview, Ridge Road, Portlaoise",,
"No. 17 Oliver Plunkett Hill, Fermoy",52.143676,-8.2764417
"Prospect Hall, Monatrea",,
"Saltee Haven, Gurteenminogue Upper, Murrintown",,
"Scrageen, Newport, Co Tipperary",,
"Sontana, 5 Brennans Terrace, Strand Road     Bray",,
"Stranooden, Monaghan, County Monaghan",,
"Terryglass, Nenagh",53.04300815,-8.22020029031681
"The Ash Tree, Ballywilliam",,
"'Rowan', 72B Butterfield Avenue, Rathfarnham",,
"10 the paddock, moyglare abbey, maynooth",53.389609525,-6.606653025
"102 Kileen Woods, Tralee",,
"104 Royal Canal Court, Royal Canal Way, Ashtown",,
"108 Glendale, Leixlip",53.37202515,-6.48307123022442
"109 Ayrfield Drive, Ayrfield",53.3934891,-6.1895179
"10, Ashford Place, Stoneybatter",,
"11 Ballyore Road, Rathfarnham",,
"11 Belville Court, Johnstown Road, Dun Laoghaire",,
"112 Southmede, Ballinteer Road, Dundrum",53.2831379,-6.2450204
"113 Brooklands, Clane",53.29332265,-6.67655672086696
"116 Harolds Cross Cottages, Dublin 6",53.3290059,-6.2747822
"12 Castleoak Crescent, Dark Road, Nenagh",,
"12 Mulberry Drive, Castleknock",53.3702041,-6.3788231
"120 monread Heights, Naas",,
"13  KNOCKBRACK CLOSE, DROGHEDA",,
"13 belville court, johnstown road, cabinteely",,
"13 Coach House Square, Ballintyre Hall, Ballinteer Avenue",,
"13 Elm Park, Greenfields, Newcastle",,
"13 Prosepect View, Prospect Manor, Rathfarnham  D 16",,
"138 Morehampton Road, Donneybrook, Dublin 4",,
"14 Vernon Park, Clontarf, Dublin 3",53.3653306,-6.1937601
"14 WESTON AVENUE, NAUL",,
"159 Coill Tire, An Fiodan, Doughiska",,
"17 Castleknock Vale, Castleknock, Dublin 15",53.3781112,-6.37672736430793
"18 Abbeycourt, Rathkeale",,
"180 Collins Avenue, Whitehall, Dublin 9",53.3819932,-6.2431116
"19 Stocking Wood Hall, Rathfarnham, Dublin 16",53.2721822,-6.3185864
"2  Cruise Park Rise, Tyrellstown, Dublin 15.",53.4191407,-6.3954856
"2 Drumglen Drive, Swellan Lower, Cavan",,
"2 Mount Suir, Gracedieu",52.2630373,-7.14625097681849
"20 Carrigwell, Carrignavar",51.9891516,-8.4760794
"255 littlepace road, littlepace, clonee",53.4045028,-6.4280515
"26 Hastings Green, Balbriggan",53.6129678,-6.211504
"26 Hayfield, Model Farm Road, Cork",,
"26 Seatown Villas, Swords",53.46231125,-6.21588831938432
"28 Pairc na Ri, Athenry",53.3086442,-8.75001326162791
"3 Doolin House, Clare Village, Clare Hall Dublin 17",,
"3 Marine Crescent, Blackrock Cove, Blackrock",,
"3 Park Close, Off Park Road, Longford",,
"30 Carrig Rua, Gortlandroe, Nenagh",52.8686797,-8.2177714
"33 FOYLE ROAD, FAIRVIEW, DUBLIN 3",,
"37 Colpe View, Deepforde, Dublin Road",,
"38 aulden grange, santry",53.3994379,-6.2333097782843
"38 Churchfields, Ashbourne",53.5076535,-6.4047757
"4 Caoin Dara, Ballindereen",,
"4 Connaught Street, Phibsboro",,
"4 RADHARC NA SLEIBHTE, MOUNTRATH",,
"4 Roseabbey Park, Kinsale",51.7054087,-8.5287073
"4 Tyrells Row, Lusk Village, Lusk",53.528847,-6.16415
"45 Viewmount, Rathdrum, Co.WIcklow",52.9328107,-6.2499877
"47 Sillogue Gardens, Ballymun",53.3935118,-6.2672283
"49 Palmerstown Drive, Palmerstown, Dublin",53.3525959,-6.363834
"5 Elder Rise, Bridgemount  Carrigaline",,
"53 Barons Hall Grove, Balbriggan",,
"54 Brocan Wood, Monasterevin",,
"54 Gort na nUll, Sixmilebridge",,
"6 Cnoc an Aitinn, Inchinattin, Reenascreena  Rosscarbery",,
"6 curragh hall, tyrrelstown",53.41551265,-6.38761632025128
"62 Danesfort Court, Loughrea",53.20392075,-8.55492950844098
"66 Rosary Place, Midleton",51.9077552,-8.1725238
"7 Kilbelin View, Newbridge",53.170948,-6.79172145174058
"7 St Josephs Park, Barrack Street, Dundalk",,
"7 Watergold Road, Douglas",,
"73 Westbrook Park, Lucan",53.34948095,-6.45854659273325
"75 Casieal na Ri, Cashel",,
"75 rosemount estate, dundrum",53.29543225,-6.24236529156668
"8  Broadfield Meadows, Rathcoole",,
"8 FORGEHILL GROVE, STRAMULLEN",,
"8 Forgehill Walk, Stamullen",,
"87 St. Conleths Road, Greenhills, Dublin 12",53.31044175,-6.32925815
"8B TEMPLE CRESCENT, BLACKROCK",53.2971622,-6.1686388
"9 College Farm Gren, Newbridge",,
"9 Gainsborough Crescent, Malahide",53.44829345,-6.18456152253788
"Apartment 11, Green Park, Dundalk",,
"Apartment 13, Green Park, Dundalk",,
"Apartment 14, Green Park, Dundalk",,
"Apartment 15, Green Park, Dundalk",,
"Apartment 16, Green Park, Dundalk",,
"Apartment 1, Green Park, Dundalk",,
"Apartment 23, Green Park, Dundalk",,
"Apartment 24, Green Park, Dundalk",,
"Apartment 25, Green Park, Dundalk",,
"Apartment 26, Green Park, Dundalk",,
"Apartment 2, Green Park, Dundalk",,
"Apartment 33, Green Park, Dundalk",,
"Apartment 34, Green Park, Dundalk",,
"Apartment 3, Green Park, Dundalk",,
"Apartment 41, Green Park, Dundalk",,
"Apartment 45, Canon Hall, Church Street East",,
"Apartment 4, Green Park, Dundalk",,
"Apartment 5, Green Park, Dundalk",,
"Apartment 8, Green Park, Dundalk",,
"Apartment 9, Green Park, Dundalk",,
"Apartment No. 78, The Dargan Building, Heuston South Quarter",,
"Ballybrone, Turloughmore",,
"ballyman, waterfall",,
"Carrigoe, Dungarvan, Co Waterford",,
"Cleen, Knockvicar, Boyle",,
"Clongour, Thurles",52.6726106,-7.8150163
"Clooneen, Rosbeg, Westport",,
"Condonstown, Dungourney",,
"Edenvale, South Strand, Skerries",,
"Ground Floor Flat, 73 Pembroke Lane, Ballsbridge",,
"Hillmiriam, Tivoli",,
"kilsaran, castlebellingham",53.8864223,-6.3903472
"Lisgoold North, Leamlara",,
"Lismanny, Laurencetown, Ballinasloe",53.2773618,-8.1668596
"main street, ferbang",,
"No 9 Coach House Square, Ballintyre Hall, Ballinteer Avenue",,
"SORRENTOVILLE, VICO ROAD, DALKEY",53.2702712,-6.09801955000001
"Tougher Road, Robertstown, Naas",,
"Trenfoughnane, Bohola",,
"11 Agusta Drive, Marlborough Woods, Douglas",,
"19 Griffith Avenue, Drumcondra",53.3745008,-6.2455289
"56 WIllowmere Drive, Thurles",,
"33 Lakeside, Castleoaks, Dublin Road",,
"1 Stocking Wood Way, Stocking Avenue, Rathfarnham",,
"101 Windmill Park, Crumlin, Dublin 12",53.3201993,-6.3148643
"12 West Courtyard, Tullyvale, Cabinteely",53.2486861,-6.1468333
"12 Woodlawn Villas, Portlaoise",,
"142 St Maelruans Park, Tallaght",53.28536355,-6.35920430591688
"15 Cnoc Na Si, Portumna",53.0966448,-8.2208746
"156 Curragh Birin, Castletroy, Limerick",52.6643202,-8.57696564190475
"178 The Beeches, Navenny, Ballybofey",54.78990905,-7.77138627397377
"18 Caiseal Ur, Bothar Stiofain, Galway",,
"19 Mary Street, Dungarvan",,
"2 Fr. Cullens Tce, Enniscorthy",,
"21The Orchards, Townshend Street, Skibbereen",,
"23 mcdermotts tce, carrick rd, dundalk",,
"27 Quigley Park, Rathdowney",52.8545504,-7.59280337784919
"29 Sycamore Avenue, Kingswood Heights, Tallaght",,
"3 Ballydaheen, Mallow",52.36508,-8.72588867255665
"3 Woodstown Drive, Knocklyon, Dublin 16",53.2759624,-6.3274933
"31 Bective Avenue, Bective Lodge, Kilmessan",,
"31 Woodberry Lawn, Castleredmond, Midleton",,
"33 Ard Cairn, Cairns Hill, Sligo",,
"34 Creston Avenue, Meakstown",53.4067502,-6.2910714
"4 Washington Grove, Butterfield Avenue, Rathfarnham",,
"43 Castle Riada Grove, Lucan",53.3471911,-6.4279511
"5 Grandview Terrace, Victoria Road, Cork",,
"50 Llewelyn Court, Grange Valley, Rathfarnham",,
"54 Coogan park, Newcastle",53.2786262,-9.0777529
"56 glencairn lawn, the gallops, leopardstown",,
"6 washington grove, butterfield avenue, rathfarnham",,
"60 Villa Park Avenue, Navan Road",,
"65 Cadogan Road, Fairview",,
"7 Clonsilla Park, Blanchardstown, Dublin 15",53.38673535,-6.382948175
"7 Elden, Maryborough Hill, Douglas",51.8717396,-8.4192629
"7 Highfield, Balinderry, Mullingar",,
"72 Kilbelin Abbey, Athgarvan Road, Newbridge",,
"9 Castan Doire, Halfway, Ballinhassig",,
"APARTMENT 13  BLOCK A, SILVERBRIDGE COURT, KNOCK ROAD  CLAREMORRIS",,
"Apartment 17, Drury Hall, Stephen Street Lower",,
"Apartment 60 Waltrim Grove, Killarney Road, Bray",,
"Apartment No 77 The Oval, Tullyvale, Cabinteely",,
"Ballyskerdane, Carrignabhfear",,
