Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    01,  01,      6.850,      0.001, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160101_f17_nrt_s.bin
2016,    01,  02,      6.673,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160102_f17_nrt_s.bin
2016,    01,  03,      6.517,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160103_f17_nrt_s.bin
2016,    01,  04,      6.395,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160104_f17_nrt_s.bin
2016,    01,  05,      6.195,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160105_f17_nrt_s.bin
2016,    01,  06,      5.953,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160106_f17_nrt_s.bin
2016,    01,  07,      5.806,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160107_f17_nrt_s.bin
2016,    01,  08,      5.671,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160108_f17_nrt_s.bin
2016,    01,  09,      5.621,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160109_f17_nrt_s.bin
2016,    01,  10,      5.381,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160110_f17_nrt_s.bin
2016,    01,  11,      5.192,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160111_f17_nrt_s.bin
2016,    01,  12,      5.153,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160112_f17_nrt_s.bin
2016,    01,  13,      5.017,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160113_f17_nrt_s.bin
2016,    01,  14,      4.703,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160114_f17_nrt_s.bin
2016,    01,  15,      4.561,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160115_f17_nrt_s.bin
2016,    01,  16,      4.434,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160116_f17_nrt_s.bin
2016,    01,  17,      4.265,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160117_f17_nrt_s.bin
2016,    01,  18,      4.140,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160118_f17_nrt_s.bin
2016,    01,  19,      4.003,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160119_f17_nrt_s.bin
2016,    01,  20,      3.913,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160120_f17_nrt_s.bin
2016,    01,  21,      3.937,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160121_f17_nrt_s.bin
2016,    01,  22,      3.719,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160122_f17_nrt_s.bin
2016,    01,  23,      3.645,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160123_f17_nrt_s.bin
2016,    01,  24,      3.585,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160124_f17_nrt_s.bin
2016,    01,  25,      3.562,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160125_f17_nrt_s.bin
2016,    01,  26,      3.514,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160126_f17_nrt_s.bin
2016,    01,  27,      3.408,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160127_f17_nrt_s.bin
2016,    01,  28,      3.374,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160128_f17_nrt_s.bin
2016,    01,  29,      3.406,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160129_f17_nrt_s.bin
2016,    01,  30,      3.282,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160130_f17_nrt_s.bin
2016,    01,  31,      3.213,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160131_f17_nrt_s.bin
2016,    02,  01,      3.178,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160201_f17_nrt_s.bin
2016,    02,  02,      3.097,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160202_f17_nrt_s.bin
2016,    02,  03,      3.051,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160203_f17_nrt_s.bin
2016,    02,  04,      2.964,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160204_f17_nrt_s.bin
2016,    02,  05,      2.925,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160205_f17_nrt_s.bin
2016,    02,  06,      2.892,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160206_f17_nrt_s.bin
2016,    02,  07,      2.903,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160207_f17_nrt_s.bin
2016,    02,  08,      2.816,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160208_f17_nrt_s.bin
2016,    02,  09,      2.773,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160209_f17_nrt_s.bin
