Details,Accession,Release_Date,Species,Genus,Family,Length,Nuc._Completeness,Genotype,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
,MN514967,2019-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30799,complete,,Nigeria,Camelus dromedarius,,2016-01-24,,"Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Nigeria/NV1385/2016, complete genome"
,KJ477103,2014-03-04T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30101,complete,,Egypt,Camelus dromedarius,,2013,,"Middle East respiratory syndrome-related coronavirus isolate NRCE-HKU270, complete genome"
,MK211379,2019-06-30T00:00:00Z,Coronavirus BtRt-BetaCoV/GX2018,Betacoronavirus,Coronaviridae,29752,complete,,China,Rhinolophus affinis,,2016-09,,"Coronavirus BtRt-BetaCoV/GX2018, complete genome"
,MK211377,2019-06-30T00:00:00Z,Coronavirus BtRs-BetaCoV/YN2018C,Betacoronavirus,Coronaviridae,29689,complete,,China,Rhinolophus affinis,,2016-09,,"Coronavirus BtRs-BetaCoV/YN2018C, complete genome"
,MK211376,2019-06-30T00:00:00Z,Coronavirus BtRs-BetaCoV/YN2018B,Betacoronavirus,Coronaviridae,30256,complete,,China,Rhinolophus affinis,,2016-09,,"Coronavirus BtRs-BetaCoV/YN2018B, complete genome"
,MK211374,2019-06-30T00:00:00Z,Coronavirus BtRl-BetaCoV/SC2018,Betacoronavirus,Coronaviridae,29648,complete,,China,Rhinolophus,,2016-08,,"Coronavirus BtRl-BetaCoV/SC2018, complete genome"
,MK564474,2019-03-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30085,complete,,Ethiopia,Camelus dromedarius,oronasopharynx,2017-08-24,,"Middle East respiratory syndrome-related coronavirus isolate camel/MERS/Amibara/118/2017, complete genome"
,MK211375,2019-06-30T00:00:00Z,Coronavirus BtRs-BetaCoV/YN2018A,Betacoronavirus,Coronaviridae,29698,complete,,China,Rhinolophus affinis,,2016-09,,"Coronavirus BtRs-BetaCoV/YN2018A, complete genome"
,MK907287,2019-11-11T00:00:00Z,Erinaceus hedgehog coronavirus HKU31,Betacoronavirus,Coronaviridae,29951,complete,,China,Erinaceus amurensis,,2014-08,,"Erinaceus hedgehog coronavirus HKU31 strain Rs13, complete genome"
,MK907286,2019-11-11T00:00:00Z,Erinaceus hedgehog coronavirus HKU31,Betacoronavirus,Coronaviridae,29951,complete,,China,Erinaceus amurensis,,2014-08,,"Erinaceus hedgehog coronavirus HKU31 strain F6, complete genome"
,MK796425,2019-05-20T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30108,complete,,South Korea,Homo sapiens,,2015-05-20,,"Middle East respiratory syndrome-related coronavirus isolate KNIH/002_05_2015, complete genome"
,AY394992,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29736,complete,,,,,,,"SARS coronavirus HZS2-C, complete genome"
,MG197715,2018-09-16T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30530,complete,,China,,oronasopharynx,2015-05-21,,"Human coronavirus OC43 strain GZYF-26, complete genome"
,MG197721,2018-09-16T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30521,complete,,China,,oronasopharynx,2015-06-13,,"Human coronavirus OC43 strain YC-72, complete genome"
,KP719931,2015-02-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29559,complete,,United Arab Emirates,Camelus dromedarius,,2014-06,,"Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1339.2/2014, complete genome"
,MN514966,2019-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31075,complete,,Nigeria,Camelus dromedarius,,2015-11-12,,"Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Nigeria/NV1097/2015, complete genome"
,KP719930,2015-02-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29559,complete,,United Arab Emirates,Camelus dromedarius,,2014-06,,"Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1164.14/2014, complete genome"
,KP719929,2015-02-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29559,complete,,United Arab Emirates,Camelus dromedarius,,2014-06,,"Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1164.11/2014, complete genome"
,MN120513,2019-07-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Homo sapiens,,2019-03-27,,"Middle East respiratory syndrome-related coronavirus isolate 016, complete genome"
,MN120514,2019-07-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30118,complete,,Saudi Arabia,Homo sapiens,,2019-03-28,,"Middle East respiratory syndrome-related coronavirus isolate 013, complete genome"
,NC_012936,2009-07-13T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31250,"refseq, complete",,,Rattus,,,,"Rat coronavirus Parker, complete genome"
,KC776174,2013-03-25T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30030,complete,,Jordan,Homo sapiens,lung,2012-04,,"Human betacoronavirus 2c Jordan-N3/2012, complete genome"
,KF514393,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2010-10-01,,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.10P20/2010, complete genome"
,KF530092,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,2000-08-08,,"Human coronavirus OC43 strain OC43/human/USA/008-5/2000, complete genome"
,KF268338,2013-08-14T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31294,complete,,USA,Mus musculus,,2012-10-25,,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_L94P/2012, complete genome"
,KF686342,2013-09-28T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29742,complete,,USA,Homo sapiens,,2009-12-13,,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-11/2009, complete genome"
,KF530069,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30578,complete,,USA,Homo sapiens,,1998-02-05,,"Human coronavirus OC43 strain OC43/human/USA/982-4/1998, complete genome"
,KF530091,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30606,complete,,USA,Homo sapiens,,1991-01-24,,"Human coronavirus OC43 strain OC43/human/USA/911-58/1991, complete genome"
,KF530065,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,1990-01-17,,"Human coronavirus OC43 strain OC43/human/USA/901-41/1990, complete genome"
,KF530099,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30578,complete,,USA,Homo sapiens,,1997-01-02,,"Human coronavirus OC43 strain OC43/human/USA/971-5/1997, complete genome"
,KF514394,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2009-07-08,,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P20/2009, complete genome"
,KF530063,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,1996-12-30,,"Human coronavirus OC43 strain OC43/human/USA/9612-48/1996, complete genome"
,KF514389,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2009-05-19,,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P10/2009, complete genome"
,KF530098,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30578,complete,,USA,Homo sapiens,,1996-05-10,,"Human coronavirus OC43 strain OC43/human/USA/965-6/1996, complete genome"
